A0A024B7W1	A0A024B7W1
A0A059ZRB8	A0A059ZRB8
A0A086HZU3	A0A086HZU3
A0A086RSH0	A0A086RSH0
A0A096LNF0	A0A096LNF0
A0A0A0RCB5	A0A0A0RCB5
A0A0A1EQY0	A0A0A1EQY0
A0A0A6ZFY4	A0A0A6ZFY4
A0A0B0QJR1	A0A0B0QJR1
A0A0C2W699	A0A0C2W699
A0A0C6DRW4	A0A0C6DRW4
A0A0D6GJV1	A0A0D6GJV1
A0A0H2UL04	A0A0H2UL04
A0A0H2UPS5	A0A0H2UPS5
A0A0H2UR04	A0A0H2UR04
A0A0H2UR54	A0A0H2UR54
A0A0H2USG1	A0A0H2USG1
A0A0H2UYY2	A0A0H2UYY2
A0A0H2V6Y9	A0A0H2UYY2
A0A0H2VDX9	A0A0H2VDX9
A0A0H2XGN0	A0A0H2XGN0
A0A0H2ZBS8	A0A0H2ZBS8
A0A0H3C7V4	A0A0H3C7V4
A0A0H3EUF3	A0A0H3EUF3
A0A0H3GJF7	A0A0H3GJF7
A0A0H3HP34	A0A086RSH0
A0A0H3JPC6	A0A0H3JPC6
A0A0H3JSY9	A0A0H3JSY9
A0A0H3JUJ1	A0A0H3JUJ1
A0A0H3K033	A0A0H3K033
A0A0H3KFM7	A0A0H3KFM7
A0A0H3KGN1	A0A0H3KGN1
A0A0H3KHT8	A0A0H3KHT8
A0A0H3M2Q2	A0A086RSH0
A0A0H3NMP8	A0A0H3NMP8
A0A0H3PJK4	A0A0H3PJK4
A0A0H3PJL7	A0A0H3PJL7
A0A0J9WZA6	A0A0J9WZA6
A0A0J9X1M8	A0A0J9X1M8
A0A0L0P1H8	A0A0L0P1H8
A0A0M3KL39	A0A0M3KL39
A0A0M3VGF9	A0A0M3VGF9
A0A0M4HL56	A0A0M4HL56
A0A0P0XII1	A0A0P0XII1
A0A0R4IKJ1	A0A0R4IKJ1
A0A0V8ETW8	A0A0V8ETW8
A0A125SA05	A0A125SA05
A0A144A134	A0A144A134
A0A146CJG7	A0A024B7W1
A0A1C5HQ65	A0A1C5HQ65
A0A1D7ZZ64	A0A086RSH0
A0A1D8PMH8	A0A1D8PMH8
A0A1G8XA46	A0A1G8XA46
A0A2P2GK84	A0A2P2GK84
A0A2S3R7M0	A0A2S3R7M0
A0A2S5T447	A0A2S5T447
A0A2S5T4A0	A0A2S5T4A0
A0A2S5T4B3	A0A2S5T4B3
A0A2V2VPF1	A0A086RSH0
A0A2X0SE53	A0A2X0SE53
A0A344X2I6	A0A344X2I6
A0A345ILN6	A0A345ILN6
A0A385Z7H9	A0A385Z7H9
A0A3B6UER2	A0A3B6UER2
A0A3R7J519	A0A3R7J519
A0A4X1V520	A0A4X1V520
A0A4Y6N1I7	A0A4Y6N1I7
A0A562MSV3	A0A086RSH0
A0A5D0ENI3	A0A5D0ENI3
A0A6A5BBK9	A0A6A5BBK9
A0A6H0TJ16	A0A6H0TJ16
A0A6L8PEJ7	A0A6L8PEJ7
A0A6M5K9A4	A0A6M5K9A4
A0A6S6PLJ6	A0A6S6PLJ6
A0A7G3URI3	A0A7G3URI3
A0A7H0DN85	A0A7H0DN85
